symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
JNJ,2019-04-02 00:00:00+00:00,137.71,139.01,136.91,139.01,5517817,121.0840916055,122.2271409054,120.3806766518,122.2271409054,5517817,0.0,1.0
JNJ,2019-04-03 00:00:00+00:00,137.17,138.24,136.87,138.2,5947020,120.6092865117,121.5501040124,120.3455059041,121.5149332647,5947020,0.0,1.0
JNJ,2019-04-04 00:00:00+00:00,135.57,137.01,135.13,136.87,5844786,119.2024566042,120.468603521,118.8155783796,120.3455059041,5844786,0.0,1.0
JNJ,2019-04-05 00:00:00+00:00,136.18,136.58,135.7,136.04,4759699,119.7388105064,120.0905179833,119.3167615342,119.6157128895,4759699,0.0,1.0
JNJ,2019-04-08 00:00:00+00:00,136.14,136.51,135.7,136.05,4330048,119.7036397588,120.0289691749,119.3167615342,119.6245055765,4330048,0.0,1.0
JNJ,2019-04-09 00:00:00+00:00,135.57,136.26,134.56,136.0,5210317,119.2024566042,119.8091520018,118.314395225,119.5805421418,5210317,0.0,1.0
JNJ,2019-04-10 00:00:00+00:00,135.58,136.13,135.33,135.89,4194170,119.2112492911,119.6948470718,118.9914321181,119.4838225857,4194170,0.0,1.0
JNJ,2019-04-11 00:00:00+00:00,135.21,136.18,134.42,135.96,4485211,118.885919875,119.7388105064,118.1912976081,119.5453713941,4485211,0.0,1.0
JNJ,2019-04-12 00:00:00+00:00,135.98,136.35,134.75,135.22,5756816,119.562956768,119.8882861841,118.4814562766,118.8947125619,5756816,0.0,1.0
JNJ,2019-04-15 00:00:00+00:00,136.52,136.79,135.8,136.0,5380891,120.0377618618,120.2751644087,119.4046884034,119.5805421418,5380891,0.0,1.0
JNJ,2019-04-16 00:00:00+00:00,138.02,140.7,137.56,138.32,10745724,121.3566649001,123.7131049953,120.9522013017,121.6204455078,10745724,0.0,1.0
JNJ,2019-04-17 00:00:00+00:00,138.52,140.15,137.67,139.0,9543743,121.7962992462,123.2295072145,121.0489208578,122.2183482185,9543743,0.0,1.0
